,factor_0,factor_1,factor_2
Action,0.8316863184922317,-0.19053062225670953,-0.1194364249380284
Adventure,0.7796359231216435,-0.05720043121050414,-0.23282698757792009
Animation,0.13043600544749917,-0.11054560049089499,-0.775551939888539
Children's,0.29024271580905536,-0.06331124408881059,-0.7863649732229099
Comedy,0.5102800879711349,-0.3853643828160435,-0.45556972801459555
Crime,0.35168671901033105,-0.5729824056029595,-0.08414985193114105
Documentary,-0.0645248502100584,-0.3792565151102549,-0.21902926344338283
Drama,0.5438323106070637,-0.4910591997344572,-0.28519281176557154
Fantasy,0.5619874701834647,0.05954622367929076,-0.3295523852543823
Film-Noir,-0.014829907661525536,-0.7020145805013888,-0.0868053056722073
Horror,0.4651522380970601,-0.30629243793930394,-0.06506730163511631
Musical,0.15658337221534668,-0.18388661562658476,-0.6618768574707301
Mystery,0.17598455569835106,-0.7102983309354544,-0.035708295586858486
Romance,0.5182066958459166,-0.3110375187068338,-0.30614347764161004
Sci-Fi,0.7670481715905917,-0.11766350866685359,-0.15204010308991966
Thriller,0.5887868480532715,-0.527807926832571,-0.0271241367036973
War,0.5854606815489071,-0.21040737543018115,-0.14891876233270315
Western,0.3600524370251447,-0.22313616454284518,-0.13093703790902714
popularity_bias,0.450867378787456,0.10300653896357324,-0.026089773194965787
