,factor_0,factor_1,factor_2
Action,2.2708040686113944,0.4845652282711952,1.411036325985102
Adventure,3.058569965040497,0.137980167414193,1.3429919028507014
Animation,6.2970781530166295,0.6851500719411424,0.0
Children's,6.877293304812989,0.02446226960056935,0.09629830644799078
Comedy,3.1328806665769657,0.9453419411761991,0.8560687980067857
Crime,1.483036283989459,1.6503826445079677,1.0755373672820716
Documentary,2.439269004826177,1.8178622272793576,0.5685006392352083
Drama,2.6145530332932587,1.2981368835788196,0.9886959649223069
Fantasy,4.024288613572137,0.0,1.0958320764474223
Film-Noir,1.5099145884957506,2.4238986775390865,0.6802112659716385
Horror,0.9050372442791071,0.6254700769021491,1.5417657840781342
Musical,5.370242133025914,0.8647381901455465,0.18038953761845516
Mystery,0.9195409159707414,2.15544097638579,0.9201336316587625
Romance,2.8508840310606685,0.9542607410604268,0.9909519480047961
Sci-Fi,2.4706919916156904,0.2401242483698191,1.435796696655665
Thriller,1.413355909591272,1.234402410711695,1.3091607564688899
War,2.6749260145031184,1.0175972177176376,1.2308570437198252
Western,2.1261234876907467,1.1332159410095077,1.0637796609425552
popularity_bias,2.86221729638836,1.4051153903827223,0.9929935943483578
